@relation 'biodegradation-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R11,22-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R3,14,21'

@attribute x1 numeric
@attribute x3 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x16 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x24 numeric
@attribute class {RB,NRB}

@data
3.919,31.4,0,0,0,3.106,2.55,9.002,0.96,1.142,1.201,1.932,0,4.489,0,0,2.949,0,RB
4.17,30.8,1,0,0,2.461,1.393,8.723,0.989,1.144,1.104,2.214,0,1.542,0,0,3.315,0,RB
3.932,26.7,4,0,0,3.279,2.585,9.11,1.009,1.152,1.092,1.942,0,4.891,0,1,3.076,0,RB
3,20,2,0,0,2.1,0.918,6.594,1.108,1.167,1.024,1.414,8.361,1.333,0,1,3.046,0,RB
4.236,29.4,4,0,-0.271,3.449,2.753,9.528,1.004,1.147,1.137,1.985,10.348,5.588,0,0,3.351,0,RB
4.236,28.6,4,0,-0.275,3.313,2.522,9.383,1.014,1.149,1.119,1.98,10.276,4.746,0,0,3.351,0,RB
5,11.1,3,0,0,2.872,0.722,9.657,1.092,1.153,1.125,2,18.375,0.8,0,1,4.712,0,RB
4.525,31.6,2,0,-0.039,3.418,2.468,9.786,0.98,1.142,1.179,2.119,11.115,3.889,0,0,3.379,0,RB
4.596,44.4,0,0,0,2.97,0.875,9.54,0.968,1.115,1.328,2.175,0,1.069,0,0,3.626,0,RB
5.04,41.2,4,3,-1.29,3.483,1.258,10.159,1.069,1.127,1.199,2.323,30.959,1.711,2,1,3.888,1,RB
4.91,52.9,2,0,-0.302,3.364,0.629,10.06,1.018,1.098,1.279,2.333,10.717,1.207,0,0,3.767,0,RB
3.618,29.4,0,0,0,2.333,1.522,7.853,0.959,1.147,1.178,1.732,0,2.094,0,0,2.794,0,RB
4.214,30,0,0,0,2.523,1.459,8.755,0.959,1.145,1.213,1.902,0,2.052,0,0,2.998,0,RB
3.732,30,0,0,0,2.511,1.585,8.16,0.959,1.145,1.196,1.802,0,2.488,0,0,2.846,0,RB
3.879,31,0,0,0,2.908,2.281,8.743,0.96,1.143,1.202,1.902,0,3.685,0,0,2.924,0,RB
