@relation clusterincluster

@attribute x1 numeric
@attribute x2 numeric
@attribute class {0,1}

@data
4.375,0,1
4.5833,0,1
4.7917,0,1
5,0,1
5.2083,0,1
5.4167,0,1
5.625,0,1
4.1466,0.4084,1
4.3539,0.42882,1
4.5613,0.44925,1
4.7686,0.46967,1
4.9759,0.49009,1
5.1833,0.51051,1
5.3906,0.53093,1
5.5979,0.55135,1
4.0866,0.81288,1
4.2909,0.85352,1
4.4953,0.89416,1
4.6996,0.93481,1
4.9039,0.97545,1
5.1083,1.0161,1
5.3126,1.0567,1
5.5169,1.0974,1
3.9873,1.2095,1
4.1866,1.27,1
4.386,1.3305,1
4.5853,1.3909,1
4.7847,1.4514,1
4.9841,1.5119,1
5.1834,1.5724,1
5.3828,1.6329,1
3.8495,1.5945,1
4.042,1.6742,1
4.2344,1.754,1
4.4269,1.8337,1
4.6194,1.9134,1
4.8119,1.9931,1
5.0043,2.0729,1
5.1968,2.1526,1
3.6747,1.9642,1
3.8584,2.0624,1
4.0421,2.1606,1
4.2259,2.2588,1
4.4096,2.357,1
4.5933,2.4552,1
4.7771,2.5534,1
4.9608,2.6516,1
3.4645,2.3149,1
3.6377,2.4306,1
3.8109,2.5464,1
3.9841,2.6621,1
4.1573,2.7779,1
4.3306,2.8936,1
4.5038,3.0093,1
4.677,3.1251,1
3.2209,2.6433,1
3.3819,2.7755,1
3.543,2.9076,1
3.704,3.0398,1
3.8651,3.172,1
4.0261,3.3041,1
4.1871,3.4363,1
4.3482,3.5685,1
2.9463,2.9463,1
3.0936,3.0936,1
3.2409,3.2409,1
3.3882,3.3882,1
3.5355,3.5355,1
3.6828,3.6828,1
3.8302,3.8302,1
3.9775,3.9775,1
2.6433,3.2209,1
2.7755,3.3819,1
2.9076,3.543,1
3.0398,3.704,1
3.172,3.8651,1
3.3041,4.0261,1
3.4363,4.1871,1
3.5685,4.3482,1
2.3149,3.4645,1
2.4306,3.6377,1
2.5464,3.8109,1
2.6621,3.9841,1
2.7779,4.1573,1
2.8936,4.3306,1
3.0093,4.5038,1
3.1251,4.677,1
1.9642,3.6747,1
2.0624,3.8584,1
2.1606,4.0421,1
2.2588,4.2259,1
2.357,4.4096,1
2.4552,4.5933,1
2.5534,4.7771,1
2.6516,4.9608,1
1.5945,3.8495,1
1.6742,4.042,1
1.754,4.2344,1
1.8337,4.4269,1
1.9134,4.6194,1
1.9931,4.8119,1
2.0729,5.0043,1
2.1526,5.1968,1
1.2095,3.9873,1
1.27,4.1866,1
1.3305,4.386,1
1.3909,4.5853,1
1.4514,4.7847,1
1.5119,4.9841,1
1.5724,5.1834,1
1.6329,5.3828,1
0.81288,4.0866,1
0.85352,4.2909,1
0.89416,4.4953,1
0.93481,4.6996,1
0.97545,4.9039,1
1.0161,5.1083,1
1.0567,5.3126,1
1.0974,5.5169,1
0.4084,4.1466,1
0.42882,4.3539,1
0.44925,4.5613,1
0.46967,4.7686,1
0.49009,4.9759,1
0.51051,5.1833,1
0.53093,5.3906,1
0.55135,5.5979,1
2.5513e-016,4.1667,1
2.6789e-016,4.375,1
2.8065e-016,4.5833,1
2.934e-016,4.7917,1
3.0616e-016,5,1
3.1892e-016,5.2083,1
3.3168e-016,5.4167,1
3.4443e-016,5.625,1
-0.4084,4.1466,1
-0.42882,4.3539,1
-0.44925,4.5613,1
-0.46967,4.7686,1
-0.49009,4.9759,1
-0.51051,5.1833,1
-0.53093,5.3906,1
-0.55135,5.5979,1
-0.81288,4.0866,1
-0.85352,4.2909,1
-0.89416,4.4953,1
-0.93481,4.6996,1
-0.97545,4.9039,1
-1.0161,5.1083,1
-1.0567,5.3126,1
-1.0974,5.5169,1
-1.2095,3.9873,1
-1.27,4.1866,1
-1.3305,4.386,1
-1.3909,4.5853,1
-1.4514,4.7847,1
-1.5119,4.9841,1
-1.5724,5.1834,1
-1.6329,5.3828,1
-1.5945,3.8495,1
-1.6742,4.042,1
-1.754,4.2344,1
-1.8337,4.4269,1
-1.9134,4.6194,1
-1.9931,4.8119,1
-2.0729,5.0043,1
-2.1526,5.1968,1
-1.9642,3.6747,1
-2.0624,3.8584,1
-2.1606,4.0421,1
-2.2588,4.2259,1
-2.357,4.4096,1
-2.4552,4.5933,1
-2.5534,4.7771,1
-2.6516,4.9608,1
-2.3149,3.4645,1
-2.4306,3.6377,1
-2.5464,3.8109,1
-2.6621,3.9841,1
-2.7779,4.1573,1
-2.8936,4.3306,1
-3.0093,4.5038,1
-3.1251,4.677,1
-2.6433,3.2209,1
-2.7755,3.3819,1
-2.9076,3.543,1
-3.0398,3.704,1
-3.172,3.8651,1
-3.3041,4.0261,1
-3.4363,4.1871,1
-3.5685,4.3482,1
-2.9463,2.9463,1
-3.0936,3.0936,1
-3.2409,3.2409,1
-3.3882,3.3882,1
-3.5355,3.5355,1
-3.6828,3.6828,1
-3.8302,3.8302,1
-3.9775,3.9775,1
-3.2209,2.6433,1
-3.3819,2.7755,1
-3.543,2.9076,1
-3.704,3.0398,1
-3.8651,3.172,1
-4.0261,3.3041,1
-4.1871,3.4363,1
-4.3482,3.5685,1
-3.4645,2.3149,1
-3.6377,2.4306,1
-3.8109,2.5464,1
-3.9841,2.6621,1
-4.1573,2.7779,1
-4.3306,2.8936,1
-4.5038,3.0093,1
-4.677,3.1251,1
-3.6747,1.9642,1
-3.8584,2.0624,1
-4.0421,2.1606,1
-4.2259,2.2588,1
-4.4096,2.357,1
-4.5933,2.4552,1
-4.7771,2.5534,1
-4.9608,2.6516,1
-3.8495,1.5945,1
-4.042,1.6742,1
-4.2344,1.754,1
-4.4269,1.8337,1
-4.6194,1.9134,1
-4.8119,1.9931,1
-5.0043,2.0729,1
-5.1968,2.1526,1
-3.9873,1.2095,1
-4.1866,1.27,1
-4.386,1.3305,1
-4.5853,1.3909,1
-4.7847,1.4514,1
-4.9841,1.5119,1
-5.1834,1.5724,1
-5.3828,1.6329,1
-4.0866,0.81288,1
-4.2909,0.85352,1
-4.4953,0.89416,1
-4.6996,0.93481,1
-4.9039,0.97545,1
-5.1083,1.0161,1
-5.3126,1.0567,1
-5.5169,1.0974,1
-4.1466,0.4084,1
-4.3539,0.42882,1
-4.5613,0.44925,1
-4.7686,0.46967,1
-4.9759,0.49009,1
-5.1833,0.51051,1
-5.3906,0.53093,1
-5.5979,0.55135,1
-4.1667,5.1027e-016,1
-4.375,5.3578e-016,1
-4.5833,5.613e-016,1
-4.7917,5.8681e-016,1
-5,6.1232e-016,1
