@relation corners

@attribute x1 numeric
@attribute x2 numeric
@attribute class {0,1,2,3}

@data
8.7912,2.8016,0
6.855,2.6212,0
2.3472,3.3076,0
3.1444,2.7837,0
2.7663,2.2387,0
8.0782,3.9571,0
4.3347,3.0365,0
3.4201,3.0155,0
7.3017,2.65,0
11.303,2.3945,0
8.169,3.7258,0
8.8989,2.5357,0
4.3443,3.0774,0
4.0684,3.1029,0
2.3737,3.9265,0
8.6336,2.5392,0
7.0725,2.5314,0
6.858,2.62,0
10.617,3.1146,0
11.655,2.7564,0
9.5969,2.4915,0
4.4668,3.3524,0
8.7627,2.5226,0
9.5931,3.923,0
7.8619,2.9952,0
10.224,2.8555,0
11.268,3.1356,0
8.3757,3.2261,0
2.1894,3.614,0
3.8434,3.7616,0
2.2674,2.32,0
11.35,2.1784,0
6.8447,2.6263,0
9.9479,3.2147,0
6.5684,2.7575,0
6.9421,3.8511,0
6.2571,2.114,0
10.918,3.988,0
10.743,3.3339,0
8.3315,3.2343,0
4.9228,2.2958,0
4.9168,2.058,0
4.455,3.1449,0
9.0435,2.06,0
9.7461,3.4231,0
10.227,2.4281,0
10.062,2.5104,0
4.5377,3.9172,0
10.005,2.3638,0
8.2971,3.5969,0
4.315,2.0801,0
5.8108,2.6183,0
6.532,3.9342,0
7.0056,2.534,0
7.4057,2.2438,0
5.4515,3.2148,0
4.9143,3.2907,0
9.0353,3.7488,0
11.341,3.7947,0
7.9417,2.1064,0
7.9309,3.519,0
9.3873,3.7178,0
5.7264,2.9634,0
6.5327,2.1502,0
7.0938,2.1814,0
11.287,2.4004,0
6.5079,3.5566,0
8.3743,2.8146,0
6.5936,3.6541,0
7.5377,2.2959,0
2.4123,3.4658,0
10.022,2.2998,0
8.7151,3.6769,0
4.0033,3.0907,0
2.1459,3.9223,0
9.6317,2.151,0
7.6751,3.8677,0
8.5421,2.7188,0
8.3474,2.1339,0
9.3433,3.9319,0
10.873,3.2989,0
8.6591,2.8412,0
3.2067,3.1929,0
9.1374,2.6942,0
6.4723,2.4353,0
8.4098,2.0757,0
8.489,2.3069,0
8.7838,2.7468,0
2.5883,3.7536,0
4.2395,2.8823,0
3.6798,3.2755,0
11.285,2.7756,0
7.1523,3.6744,0
8.7336,3.5326,0
8.678,2.2512,0
2.8146,2.1853,0
4.2507,3.3206,0
4.8419,2.7553,0
11.138,2.2156,0
4.291,3.2476,0
4.4862,3.2432,0
8.7629,3.8233,0
8.4849,3.2123,0
9.0368,2.9707,0
10.371,3.1535,0
9.273,3.9642,0
2.1943,3.0371,0
7.8375,2.6974,0
11.209,3.9657,0
2.9168,3.984,0
7.5456,3.7923,0
11.308,3.4832,0
3.9945,3.3295,0
7.2532,3.4667,0
3.2674,2.8718,0
9.4873,2.7993,0
5.1467,2.4358,0
3.8717,3.7633,0
11.804,3.8841,0
9.1283,3.8979,0
10.256,2.2129,0
8.8322,2.116,0
8.894,2.3274,0
7.3088,3.0549,0
3.8885,2.1395,0
-6.9302,-2.0203,1
-7.5954,-2.1834,1
-10.283,-3.2149,1
-4.0287,-2.1122,1
-7.2775,-3.3162,1
-10.078,-3.1516,1
-5.551,-2.1477,1
-7.4776,-2.4831,1
-9.1744,-2.7024,1
-4.0251,-2.2535,1
-8.4376,-3.4788,1
-2.0009,-2.8914,1
-7.1318,-2.0352,1
-7.6983,-3.3634,1
-2.0704,-3.7617,1
-10.925,-2.2796,1
-10.332,-3.6217,1
-9.7517,-2.5057,1
-9.8814,-2.0488,1
-5.7363,-3.0614,1
-3.5231,-3.8697,1
-5.5226,-3.5387,1
-8.451,-2.8095,1
-11.319,-3.4356,1
-2.9332,-2.9626,1
-9.3878,-2.8824,1
-2.5527,-3.8847,1
-9.5716,-3.1576,1
-6.6349,-3.5672,1
-2.45,-3.4296,1
-10.42,-2.2843,1
-3.6471,-3.3858,1
-3.1507,-2.7873,1
-4.7156,-2.2555,1
-5.1439,-3.2818,1
-8.0609,-2.995,1
-8.7747,-2.1279,1
-11.876,-3.0471,1
-11.933,-2.6291,1
-9.5754,-3.7098,1
-4.7506,-2.018,1
-11.54,-2.4052,1
-6.1108,-3.7612,1
-4.1662,-2.4361,1
-8.2913,-2.6354,1
-2.1487,-2.6879,1
-2.433,-3.6002,1
-3.8026,-3.1422,1
-4.0047,-3.6265,1
-9.1936,-2.1724,1
-6.4287,-2.3843,1
-10.455,-3.259,1
-5.8979,-2.1277,1
-10.376,-3.4859,1
-9.4842,-3.2068,1
-7.8386,-3.5969,1
-3.6057,-2.3212,1
-7.2884,-3.4759,1
-6.6267,-3.5141,1
-5.7954,-3.7626,1
-2.9323,-2.8585,1
-4.5915,-2.375,1
-5.3584,-2.6061,1
-5.7511,-2.6415,1
-3.4626,-2.884,1
-5.1677,-2.7238,1
-4.8123,-3.2512,1
-10.201,-3.8777,1
-5.4209,-2.5738,1
-10.72,-2.4892,1
-4.6803,-3.8417,1
-9.7543,-3.8524,1
-8.0921,-2.6199,1
-2.1797,-2.153,1
-9.0151,-3.5618,1
-2.1575,-2.2615,1
-8.8389,-2.923,1
-10.779,-2.8803,1
-6.3181,-3.21,1
-8.3134,-2.254,1
-7.8604,-3.1981,1
-4.2741,-2.2643,1
-9.8465,-2.2307,1
-4.8764,-2.8821,1
-11.244,-2.5422,1
-4.9848,-3.8882,1
-7.363,-3.0333,1
-5.3365,-2.8906,1
-4.3729,-2.6172,1
-7.4524,-2.9392,1
-3.0769,-3.5589,1
-3.3716,-2.3376,1
-2.9443,-2.0449,1
-5.1088,-3.4175,1
-10.126,-3.2103,1
-7.1356,-2.8274,1
-10.665,-3.8295,1
-11.805,-2.9544,1
-5.2665,-3.8324,1
-4.1962,-2.9938,1
-7.1822,-3.8551,1
-5.5301,-3.4073,1
-10.595,-3.3893,1
-4.6002,-2.0092,1
-10.437,-3.0804,1
-7.828,-2.8259,1
-9.1941,-3.2563,1
-5.4352,-3.0871,1
-2.0927,-2.432,1
-3.9245,-3.1042,1
-7.0739,-3.7255,1
-2.2424,-2.0099,1
-7.5004,-2.2502,1
-4.7618,-3.5501,1
-8.9624,-2.0408,1
-10.814,-2.2853,1
-2.2468,-2.6408,1
-5.4121,-3.8095,1
-6.2141,-3.2283,1
-2.8001,-2.0318,1
-2.7935,-2.6228,1
-2.7238,-2.3855,1
-11.003,-2.5509,1
-11.693,-2.0534,1
-5.9131,-3.6613,1
5.1359,-3.5286,2
7.5331,-3.4423,2
9.9205,-3.6454,2
9.9831,-3.5291,2
10.633,-2.2411,2
9.9796,-2.7687,2
2.0638,-2.0558,2
11.199,-2.0026,2
2.1796,-2.014,2
2.2942,-2.3356,2
9.1145,-2.3009,2
7.3841,-3.031,2
7.2459,-2.8378,2
7.0224,-3.1876,2
2.6567,-2.554,2
4.3004,-3.1857,2
3.1704,-3.1703,2
11.898,-2.2432,2
2.7052,-2.1572,2
2.6002,-2.0641,2
8.6158,-2.3363,2
5.4406,-3.0483,2
3.2851,-3.6827,2
8.3714,-2.6128,2
9.4649,-2.3823,2
10.053,-2.1302,2
4.6903,-3.892,2
6.3398,-2.4895,2
6.0181,-3.2508,2
8.0814,-2.4133,2
9.7009,-2.4835,2
11.411,-3.4868,2
3.3146,-2.312,2
4.5572,-3.6463,2
5.7831,-2.188,2
11.937,-3.9596,2
5.4095,-3.3064,2
10.996,-2.5682,2
4.3748,-3.7345,2
4.2,-2.0603,2
11.911,-3.5219,2
11.511,-3.7924,2
8.3822,-3.2377,2
7.0413,-3.4415,2
5.5812,-2.9277,2
9.6845,-3.5178,2
9.8436,-2.0143,2
2.2892,-2.387,2
2.5244,-2.1829,2
5.2342,-2.3359,2
9.9969,-3.8845,2
8.3023,-3.6989,2
11.828,-2.2746,2
3.5825,-3.3215,2
8.1668,-2.077,2
5.0872,-2.2963,2
2.8508,-2.3695,2
