@relation cortex-nuclear

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute class {c-CS-s,c-CS-m,c-SC-s,c-SC-m,t-CS-s,t-CS-m,t-SC-s,t-SC-m}

@data
4.550289,-4.477082,1.96079,2.216874,1.14386,1.276859,-0.997482,1.507159,0.040033,-2.007139,-0.91065,0.580518,0.724479,-0.354154,0.290569,1.661204,-0.659694,0.569781,-0.319176,0.014356,0.740701,0.331554,-0.212612,-0.360373,0.32132,-0.623211,-0.38372,c-CS-m
2.897955,-4.561807,1.065335,1.624415,0.85189,0.913467,-1.106305,1.291024,0.023884,-2.075649,-0.987163,0.762896,0.713455,-0.552538,0.175927,1.723091,-0.769406,0.693927,-0.409933,0.169418,0.732309,0.20131,-0.401024,-0.256084,0.209091,-0.515719,-0.446665,c-CS-m
3.001019,-4.828098,0.83499,1.278337,0.934249,0.73618,-1.203663,1.492611,0.169355,-2.304982,-0.961013,1.052214,0.780277,-0.507094,0.269757,1.623939,-0.987133,0.710226,-0.141991,0.282529,0.547659,0.23869,-0.253493,-0.212674,0.088943,-0.801365,0.017649,c-CS-m
0.673924,-3.160202,2.745619,0.736524,1.366644,1.076716,-1.549492,0.928467,0.551229,-1.795967,-1.254737,0.545378,0.724197,0.284902,0.511998,0.905679,-0.873977,0.378689,-0.239521,0.110578,1.085429,0.081277,-0.136595,-0.066105,0.512335,-0.436239,-0.275905,c-CS-m
-0.434878,-3.488182,1.596864,0.315928,1.205782,0.811525,-1.778724,0.491621,0.4031,-1.845966,-1.467745,0.820942,0.805931,0.246162,0.530505,1.167622,-0.938004,0.310567,-0.300407,0.354839,0.533463,0.28296,-0.278136,0.113643,0.202568,-0.226137,0.074641,c-CS-m
-0.447015,-3.674005,1.862624,0.339444,1.61776,0.705472,-1.55894,1.033365,0.443773,-1.728335,-1.234725,1.155803,0.91861,0.102014,0.638964,1.00653,-0.786179,0.570375,-0.141716,0.268283,0.539575,0.321529,-0.606875,0.044042,0.16769,-0.050469,0.074174,c-CS-m
-0.72705,-2.402104,3.727684,0.553009,2.023652,1.142146,-1.626499,0.888261,0.739658,-1.671981,-1.241283,0.889783,0.800373,0.738371,0.287066,0.399087,-0.804632,0.335004,-0.30783,0.051004,0.509597,0.31631,-0.352452,-0.147195,0.508826,-0.141643,-0.083333,c-CS-m
-2.156251,-2.810901,2.664029,0.285982,1.996752,0.90659,-1.652686,0.749916,0.464901,-1.725639,-1.487554,0.888585,0.513813,0.523191,0.684697,0.67623,-0.996926,0.187745,-0.092406,0.238573,0.656374,0.039564,-0.08175,0.218135,0.344701,-0.192033,0.108749,c-CS-m
-3.896807,-3.139677,1.848433,0.171207,1.998856,0.759104,-1.888839,1.124792,0.438545,-1.308745,-1.644221,1.080887,0.747176,0.570857,0.331216,0.498081,-0.593749,0.226105,-0.130533,0.409739,0.43766,0.340367,-0.488383,-0.030571,0.101949,0.290118,0.009909,c-CS-m
-1.943433,-0.943418,4.814718,-0.501871,1.27251,0.915878,-2.223413,0.564337,1.144752,-2.344549,-1.247183,0.451482,0.803955,0.433937,-0.042913,-0.245518,-0.283304,0.253939,0.070352,0.293497,0.298207,0.547706,-0.294522,0.318086,0.164781,-0.09108,-0.257444,c-CS-m
