@relation crescentFullMoon

@attribute x1 numeric
@attribute x2 numeric
@attribute class {0,1}

@data
4.3821,-0.42183,0
2.5793,0.36539,0
-0.46376,3.0307,0
-1.8487,2.3574,0
1.1534,-4.7681,0
-0.63275,0.8724,0
-2.7018,3.9354,0
2.3859,-1.3085,0
-4.2365,2.2616,0
2.5258,-2.6692,0
-1.6947,2.9468,0
-2.5374,-2.6939,0
3.7331,-2.6361,0
2.6534,-2.071,0
2.2114,-0.94439,0
2.4193,-2.0184,0
-2.2666,-0.44924,0
-1.419,3.3822,0
-2.4844,0.36424,0
-1.3855,4.5121,0
1.3558,-0.72052,0
3.9183,1.9794,0
3.3139,-1.8311,0
-0.81023,-0.37874,0
-1.8661,-2.4945,0
-0.66897,-2.5975,0
2.9575,2.5707,0
2.139,2.3685,0
-3.9279,-1.7329,0
0.88728,2.8745,0
3.5898,0.12948,0
0.66199,-1.1322,0
0.23803,1.3654,0
0.97504,-0.90573,0
-3.6956,-1.5352,0
-3.4804,-3.4315,0
2.034,4.4259,0
1.6129,4.1378,0
1.4239,1.1201,0
2.7604,4.0924,0
2.086,-2.1753,0
-2.5127,1.7004,0
-3.1919,2.3704,0
4.525,1.2713,0
-2.1704,-1.1656,0
-2.1197,3.5449,0
-1.8836,4.3726,0
-2.4192,-0.7236,0
0.34785,1.4641,0
-0.76707,0.36552,0
1.5888,1.1924,0
-1.6354,2.2753,0
0.68795,1.1166,0
-1.4645,2.9695,0
1.484,2.8008,0
-2.5704,2.4711,0
2.8186,-2.538,0
-1.4865,3.8367,0
3.5701,-1.764,0
0.28917,-3.379,0
-0.41166,0.50865,0
1.7645,-2.145,0
-4.7259,-0.44678,0
3.1259,3.1427,0
1.6922,0.43029,0
0.1907,1.1761,0
-2.1098,-4.4829,0
-3.8228,-1.4899,0
-2.9487,0.42113,0
-0.85083,-1.068,0
-4.7381,-0.086345,0
0.66658,-2.1769,0
2.9819,1.3188,0
3.7189,0.12454,0
-0.51834,-2.3839,0
2.2849,1.4585,0
-0.44159,-1.5428,0
3.7588,3.0344,0
-0.38856,-2.9889,0
-2.8891,0.91529,0
2.3599,-0.5132,0
4.6032,-0.23699,0
-3.8318,0.099845,0
1.7177,2.9185,0
-1.6902,-4.5349,0
0.81316,2.0439,0
-2.9004,-2.3117,0
0.20141,-3.2635,0
3.1871,3.1669,0
