@relation halfkernel

@attribute x1 numeric
@attribute x2 numeric
@attribute class {0,1}

@data
-2.1797,5.8141,1
-2.3454,-1.2008,1
-3.5193,7.5115,1
-4.3372,9.143,1
-0.75859,4.5794,1
-12.251,10.726,1
-13.068,11.85,1
-14.377,-9.798,1
-8.3922,7.6331,1
-1.0517,-5.9099,1
-16.065,-13.257,1
-6.9187,9.2443,1
-3.356,5.4871,1
-20.925,10.222,1
-15.883,10.017,1
-15.561,-10.976,1
-3.6349,-7.5476,1
-11.862,-10.164,1
1.2789,-3.3832,1
-6.8396,7.9987,1
1.0241,2.682,1
-1.6861,-5.7069,1
-8.0583,-8.3084,1
-14.908,-11.641,1
-2.4381,-6.8244,1
-8.6759,-10.229,1
-2.7516,5.7824,1
-5.0837,8.9156,1
-19.104,11.098,1
-2.4884,6.1503,1
-7.7526,8.0953,1
-1.9544,-6.8052,1
-2.9237,7.0545,1
-2.0538,7.9771,1
-2.8015,-3.0076,1
-13.02,-11.045,1
0.83343,-5.0246,1
-16.416,-12.588,1
-5.1615,7.63,1
-12.491,13.406,1
-16.196,11.872,1
-7.9828,10.863,1
-1.0959,7.0453,1
-5.5247,-10.243,1
-6.652,-7.6056,1
-2.595,-4.4324,1
-6.9749,-9.161,1
1.4997,1.6539,1
-9.1877,10.013,1
-8.2057,10.549,1
-3.9355,5.8755,1
-4.4818,4.8826,1
-0.10505,2.7498,1
-16.438,-10.735,1
-16.266,12.346,1
-1.9543,-6.1802,1
-16.08,-9.9356,1
-1.3534,-6.3896,1
-17.267,-12.447,1
1.2581,-2.0569,1
0.98359,-1.3088,1
-4.95,9.9919,1
-14.462,-12,1
-12.068,-12.368,1
-9.7069,-9.1679,1
-12.514,-10.074,1
-19.463,12.04,1
-7.3916,-7.6145,1
-2.502,2.6681,1
-6.3344,8.4973,1
-6.8259,7.4148,1
-13.966,13.425,1
-15.838,-13.201,1
-1.3423,-4.059,1
-3.088,6.8891,1
-3.1433,8.6311,1
1.1304,4.2103,1
1.4387,2.3434,1
-7.5087,-8.4632,1
-0.67272,7.6026,1
0.99809,-0.56026,1
-10.259,11.424,1
-11.487,-11.455,1
-3.7116,6.133,1
-11.78,9.7101,1
-9.3143,-9.3661,1
0.35395,1.8715,1
-1.91,-4.3926,1
-11.543,9.8461,1
-14.573,-10.056,1
-0.4313,-3.7513,1
-5.3283,-9.0585,1
-14.659,12.006,1
-14.043,13.239,1
-4.7396,-8.2942,1
-17.553,13.139,1
-4.2719,-6.8323,1
-2.4614,4.1334,1
-0.44605,3.4996,1
-10.708,-9.6303,1
-13.193,-12.238,1
-4.3037,8.8423,1
-8.9425,-9.0193,1
-7.4082,8.6833,1
-8.3379,-10.07,1
-17.008,-12.718,1
-17.309,-13.241,1
-3.0408,4.1972,1
0.4829,-1.8105,1
-16.532,-10.175,1
-12.663,-11.465,1
-14.07,-10.69,1
-12.716,10.013,1
-16.421,11.902,1
-15.649,-10.139,1
-16.904,13.442,1
-19.367,12.595,1
-20.476,-10.103,1
-17.694,13.008,1
-2.1337,5.1594,1
-1.4444,-5.2853,1
-16.829,-11.029,1
-20.384,-11.084,1
-3.8124,-7.7436,1
-10.116,-11.901,1
-5.5436,-6.7647,1
-16.136,10.05,1
-5.6253,7.6235,1
-1.8278,-5.7959,1
-18.266,12.524,1
-12.54,-11.147,1
-3.9802,-9.9886,1
-6.8631,9.7231,1
-5.0362,-5.5914,1
1.5717,-0.19572,1
-11.117,-10.124,1
-8.445,8.2739,1
-12.017,-12.628,1
-6.876,9.9937,1
-9.1026,9.5578,1
0.67966,-1.8986,1
-10.017,10.465,1
-2.2321,-3.8012,1
-4.392,6.4199,1
-6.3699,-8.5411,1
0.13366,-1.5388,1
-10.454,9.0169,1
-10.923,12.069,1
-2.6408,6.9137,1
-17.673,13.493,1
-10.857,-10.107,1
0.059621,3.9885,1
0.20247,-3.4518,1
-16.313,13.281,1
-4.1573,4.6268,1
-1.2837,-5.1853,1
-17.492,-11.063,1
-12.789,9.7757,1
-12.168,-12.585,1
-12.644,12.854,1
-2.9436,6.1966,1
-2.8693,-5.2171,1
-1.0831,-5.4435,1
-4.6762,9.6737,1
-2.9893,-8.8862,1
-8.0851,-10.914,1
-9.8175,11.425,1
-1.822,4.0435,1
-1.7442,2.329,1
-4.0012,8.7063,1
-12.548,12.372,1
1.0099,2.2823,1
-11.675,-9.8792,1
-0.24676,5.0214,1
-8.1175,-8.5488,1
-13.131,-12.227,1
-16.102,-12.338,1
-4.1081,-8.3607,1
-6.0354,-8.969,1
-7.809,-7.5404,1
-4.4897,8.1371,1
-3.1349,-3.8515,1
-1.4521,6.9629,1
-0.8763,-3.072,1
0.97941,1.4886,1
-10.579,-9.1602,1
-5.3393,-10.076,1
-8.2628,11.746,1
0.17581,2.9982,1
-17.918,-12.813,1
-21.103,-10.627,1
-4.6954,-6.0479,1
-12.653,-9.4029,1
-3.0894,-5.6212,1
-12.018,-9.7543,1
-3.95,4.7574,1
-16.841,10.128,1
-17.184,-13.635,1
-14.888,11.846,1
-12.937,-10.126,1
-9.405,-11.783,1
-2.835,6.3979,1
-18.072,-12.279,1
-0.10725,-1.8966,1
-17.981,11.597,1
-4.4359,-7.8015,1
-5.4507,6.7524,1
-10.893,-12.422,1
-13.084,11.612,1
-4.7565,5.8891,1
1.8322,1.6067,1
-1.8874,4.113,1
-13.885,10.724,1
-9.6678,-9.6852,1
-0.49302,-4.3339,1
-1.0576,4.1019,1
-15.494,11.774,1
-7.9211,8.8422,1
-1.0372,-6.6995,1
-15.45,10.749,1
-1.5798,-2.6607,1
-3.4844,6.2174,1
-12.769,-11.187,1
-13.016,11.149,1
-10.626,-10.364,1
-7.1517,-7.4544,1
-16.074,11.586,1
0.46881,1.2356,1
-0.60661,-3.816,1
-5.0261,8.4681,1
-14.556,-12.554,1
