@relation 'landsat-statlog-weka.filters.unsupervised.attribute.Remove-R3-4,7-8,11-12,15,19,23,27,31-32,35-36-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R17'

@attribute x1 numeric
@attribute x2 numeric
@attribute x5 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute class {1,2,3,4,5,7}

@data
92,115,84,84,102,101,126,103,92,112,85,84,103,81,102,126,88,121,84,107,3
84,102,84,80,102,92,112,85,84,103,81,84,99,78,88,121,84,107,84,99,3
84,102,80,84,94,84,103,81,84,99,78,84,99,81,84,107,84,99,84,99,3
80,102,84,80,94,84,99,78,84,99,81,76,99,81,84,99,84,99,84,103,3
84,94,80,80,102,84,99,81,76,99,81,76,99,85,84,99,84,103,79,107,3
80,94,80,76,102,76,99,81,76,99,85,76,103,88,84,103,79,107,79,107,3
76,102,76,80,98,80,107,88,80,112,88,80,107,85,79,107,79,103,79,103,3
76,102,80,76,94,80,112,88,80,107,85,80,95,78,79,103,79,103,79,95,3
76,89,76,76,98,80,95,74,76,91,74,76,95,78,75,91,75,91,79,87,4
76,94,76,76,94,76,91,74,76,95,78,76,91,74,75,91,79,87,79,87,4
76,98,76,76,89,76,95,78,76,91,74,76,87,74,79,87,79,87,75,87,4
72,94,72,72,89,76,87,74,76,87,67,71,87,70,75,91,75,87,71,87,4
72,89,72,76,94,76,87,67,71,87,70,71,83,67,75,87,71,87,71,79,4
76,94,72,68,85,71,83,67,68,83,67,68,83,67,71,79,71,79,67,75,4
68,85,68,68,85,71,83,67,68,83,67,68,83,67,71,79,71,75,71,75,4
68,89,68,68,94,68,83,67,68,83,67,71,83,70,71,75,71,75,67,75,4
68,85,68,76,94,68,83,67,71,83,70,76,91,74,71,75,67,75,67,75,4
68,94,76,80,98,71,83,70,76,91,74,76,95,81,67,75,67,75,75,83,4
80,94,80,84,106,84,103,85,84,103,85,88,107,88,79,99,84,99,84,99,3
88,106,88,88,106,88,107,92,88,112,88,88,103,88,88,107,88,107,88,107,3
84,98,80,88,102,88,103,85,84,99,85,88,99,85,84,99,88,103,88,103,3
