@relation polish-compan-weka.filters.unsupervised.attribute.ReplaceMissingValues-unset-class-temporarily

@attribute Attr1 numeric
@attribute Attr2 numeric
@attribute Attr3 numeric
@attribute Attr4 numeric
@attribute Attr6 numeric
@attribute Attr7 numeric
@attribute Attr12 numeric
@attribute Attr14 numeric
@attribute Attr16 numeric
@attribute Attr25 numeric
@attribute Attr29 numeric
@attribute Attr33 numeric
@attribute Attr38 numeric
@attribute Attr50 numeric
@attribute Attr51 numeric
@attribute Attr55 numeric
@attribute Class {0,1}

@data
0.20055,0.37951,0.39641,2.0472,0.38825,0.24976,0.6598,0.24976,0.73378,0.50494,5.9443,3.8772,0.50591,2.042,0.37854,348690,0
0.20912,0.49988,0.47225,1.9447,0,0.25834,0.5168,0.25834,0.53838,0.39542,3.6884,2.9876,0.49788,1.9447,0.49988,2304.6,0
0.24866,0.69592,0.26713,1.5548,0,0.30906,0.64184,0.30906,0.45961,0.28932,4.3749,2.063,0.51537,1.0758,0.48152,6332.7,0
0.081483,0.30734,0.45879,2.4928,0.14988,0.092704,0.30163,0.092704,0.39803,0.57353,4.6511,3.9948,0.57353,2.4928,0.30734,20545,0
0.18732,0.61323,0.2296,1.4063,0.18732,0.18732,0.33147,0.18732,0.32211,0.38677,4.1424,2.4823,0.43489,1.2959,0.56511,3186.6,0
0.22822,0.49794,0.35969,1.7502,0,0.28139,0.58691,0.28139,0.58858,0.4997,4.3258,3.5519,0.51361,1.6852,0.47944,7616.8,0
0.11109,0.64744,0.28971,1.4705,0,0.11109,0.18041,0.11109,0.82965,0.31469,3.677,1.1103,0.35256,1.3985,0.61576,1377.1,0
0.53232,0.027059,0.70554,53.954,0,0.6524,48.966,0.6524,25.575,0.9698,4.2428,44.742,0.98578,26.567,0.013323,12341,0
0.00902,0.63202,0.053735,1.1263,0,0.014434,0.033921,0.014434,0.082138,0.34828,5.9479,2.6284,0.49344,0.75832,0.42554,1.1263,0
0.12408,0.83837,0.14204,1.1694,0,0.15328,0.18284,0.15328,0.1903,0.15445,3.843,2.3226,0.16163,1.1694,0.83831,989.41,0
0.24001,0.44355,0.18835,1.44,-0.9319,0.24001,0.56072,0.24001,2.087,-0.63075,3.2184,7.1653,0.55645,1.3897,0.42804,311.43,0
-0.027117,0.11148,0.11989,2.0754,-0.084883,-0.0243,-0.21798,-0.0243,0.48347,0.85551,4.0568,5.2427,0.85551,2.0754,0.11148,1366.5,0
0.26669,0.34994,0.61147,3.0243,0.55983,0.33207,1.0993,0.33207,0.99444,0.65006,3.9412,8.4871,0.69793,2.6106,0.30207,5340,0
0.067731,0.19885,0.081562,2.9576,0.21265,0.078063,1.8736,0.078063,0.39415,0.80115,5.2684,4.8221,0.95834,0.61971,0.041664,15132,0
-0.029182,0.21131,0.45264,7.5746,0.010387,-0.034653,-0.50333,-0.034653,0.015671,0.78869,4.8827,11.205,0.93115,2.4679,0.068848,34549,0
-0.033801,1.154,-0.20599,0.8215,-0.10413,-0.033801,-0.029291,-0.033801,-0.024924,-0.18349,5.438,2.0422,-0.18349,0.8215,1.154,-56473,0
0.27053,0.29913,0.4687,2.5669,0.72793,0.33619,1.1239,0.33619,1.2521,0.6675,4.341,4.9561,0.6675,2.5669,0.29913,10278,0
0.028084,0.24231,0.43224,3.0128,0.021598,0.039729,0.185,0.039729,0.34458,0.75206,4.4729,8.6896,0.77962,2.6701,0.21475,12841,0
0.20393,0.56037,0.13495,1.2408,0,0.24291,0.43347,0.24291,0.47408,0.40929,3.7222,3.6156,0.43963,1.2408,0.56037,711.85,0
0.20876,0.4965,0.42548,2.019,0.005436,0.25619,0.61357,0.25619,0.64654,0.43302,4.1519,4.8493,0.52714,1.6979,0.41754,6037.1,0
0.11119,0.63174,0.24796,2,0.24347,0.13909,0.56092,0.13909,0.23244,0.35465,3.8662,3.3847,0.74782,0.78501,0.24796,1822,0
-0.30505,1.2523,-0.29222,0.71426,-0.30505,-0.30505,-0.29829,-0.30505,-0.22523,-0.31738,4.5134,1.058,-0.087747,0.58328,1.0227,-9531.1,0
0.12709,0.5305,0.38069,1.7198,0,0.15611,0.29516,0.15611,0.3972,0.44796,3.3658,3.8142,0.4695,1.7146,0.52891,883.77,0
0.12624,0.66286,0.21916,1.3553,0.020227,0.15633,0.25346,0.15633,0.29747,0.32996,3.8428,2.5297,0.37437,1.2611,0.61676,1526,0
0.29264,0.29252,0.34415,2.327,0,0.36131,1.3932,0.36131,1.295,0.61961,4.1328,3.4404,0.70748,2.063,0.25934,4672.6,0
0.079997,0.23967,0.32124,2.4739,0.20743,0.069715,0.31987,0.069715,0.49189,0.61034,4.407,7.6124,0.63206,2.2497,0.21795,8200.8,0
0.20817,0.6024,0.47935,2.1883,0,0.25911,0.6423,0.25911,0.43921,0.29164,4.6738,3.4297,0.3976,1.4654,0.40341,22619,0
0.26345,0.14318,0.61965,5.3277,0.55971,0.32142,2.2448,0.32142,2.4773,0.8394,4.5087,6.1989,0.8394,5.3277,0.14318,19993,0
-0.054623,0.92857,-0.026927,0.94263,-0.054623,-0.054623,-0.11637,-0.054623,-0.017279,0.069453,4.7985,1.7439,0.52863,0.4765,0.46939,-1693.2,0
-0.35884,1.1171,-0.46577,0.46115,-1.1752,-0.35884,-0.41514,-0.35884,-0.27255,-0.12518,4.0712,1.903,0.12756,0.35682,0.86437,-5487.2,0
0.10248,0.28993,0.07732,1.2981,0.22034,0.12731,0.4909,0.12731,0.55517,0.60739,4.7376,5.6069,0.63799,1.1612,0.25934,4225.5,0
0.1409,0.7556,0.33886,1.6388,0.36762,0.1409,0.26562,0.1409,0.19844,0.2444,4.383,4.6042,0.46952,1.1505,0.53048,8185.6,0
0.009297,0.78609,0.07811,1.1433,-0.017464,0.01099,0.020155,0.01099,0.02557,0.11239,5.1955,1.7837,0.42922,0.79299,0.54525,12253,0
0.001222,0.53108,0.2013,1.5431,0.042436,0.002745,0.007405,0.002745,0.095012,0.46393,4.0949,4.135,0.62437,1.0769,0.37064,2504.7,0
0.013079,0.75841,-0.060128,0.90444,0.069955,0.012298,0.019544,0.012298,0.05141,0.22721,4.2688,4.019,0.35639,0.75038,0.62923,-1116.6,0
0.099873,0.57415,0.1756,1.3169,0.30824,0.11871,0.21423,0.11871,0.25189,0.3956,4.7881,2.5666,0.41561,1.271,0.55414,10781,0
0.2953,0.34016,0.64812,3.8148,0,0.35799,1.5547,0.35799,1.1748,0.65053,3.7471,5.7118,0.65984,2.5823,0.23026,3620.2,0
0.12446,0.41949,0.43815,2.0445,0.017406,0.12446,0.2967,0.12446,0.50708,0.14187,3.3665,6.954,0.58051,2.0445,0.41949,1019,0
0.20279,0.17566,0.56391,4.2102,0.60033,0.25271,1.4386,0.25271,1.6723,0.80429,5.4345,7.2906,0.80429,4.2102,0.17566,153370,0
0.13287,0.14592,0.5326,4.65,0.41226,0.16623,1.1392,0.16623,1.4466,0.81107,4.7806,8.1873,0.81107,4.65,0.14592,32139,0
0.011834,0.088476,0.025515,1.2884,-0.19522,0.011834,0.13375,0.011834,0.571,0.91152,3.4714,1.3871,0.91152,1.2884,0.088476,75.55,0
0.046426,0.62672,0.074912,1.1195,0.18433,0.059757,0.095349,0.059757,0.16509,0.33098,4.7518,5.8915,0.33098,1.1195,0.62672,4230.4,0
0.033901,0.24045,-0.089401,0.54489,0.026188,0.044169,0.22485,0.044169,0.39012,0.58716,4.9797,3.2635,0.63116,0.44517,0.19644,-8531.9,0
-0.080617,0.90597,-0.097908,0.89193,-0.28903,-0.080617,-0.088985,-0.080617,-0.048749,0.079467,4.6239,2.6922,0.079467,0.89193,0.90597,-4118.3,0
0.036752,0.48916,0.23585,1.5172,0,0.036752,0.080598,0.036752,0.91215,0.46158,4.127,1.4844,0.51084,1.4144,0.45599,3159.8,0
-0.010554,0.97197,-0.15967,0.82411,-0.004201,-0.009069,-0.00999,-0.009069,0.036529,-0.014755,4.6977,2.5645,0.074982,0.76969,0.90779,-7959.9,0
-0.081668,1.0237,0.056945,1.0848,-0.081668,-0.081668,-0.1216,-0.081668,-0.035478,-0.039925,4.3396,1.6948,0.31221,0.71165,0.67159,1244.7,0
-0.068739,0.9403,-0.25588,0.72438,-0.1229,-0.062519,-0.067341,-0.062519,-0.010216,0.055828,4.4127,1.4063,0.059695,0.71521,0.9284,-6617.5,0
-0.2271,0.55916,0.17154,1.3068,-0.3787,-0.23821,-0.42602,-0.23821,-0.33438,0.14812,3.8841,6.8775,0.14812,1.3068,0.55916,1313.6,0
0.17203,0.56315,0.30834,1.5531,0.54039,0.22368,0.40125,0.22368,0.44405,0.41366,4.4184,3.2136,0.41935,1.5374,0.55746,8079.5,0
-0.043723,0.080508,0.61608,8.6524,-0.021103,-0.037519,-0.46603,-0.037519,0.72164,0.89008,5.025,10.812,0.89008,8.6524,0.080508,65262,0
