@relation 'Steel-Plates-weka.filters.unsupervised.attribute.Remove-R7,10,14,18,23-24-weka.filters.unsupervised.attribute.Remove-R17'

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x22 numeric
@attribute class {0,1}

@data
42,50,270900,270944,267,17,24220,76,1687,80,0.0498,0.1818,0.0047,0.4706,24.265,0.9031,0.8182,0
645,651,2538079,2538108,108,10,11397,84,1687,80,0.7647,0.2069,0.0036,0.6,20.334,0.7782,0.7931,0
829,835,1553913,1553931,71,8,7972,99,1623,100,0.971,0.3333,0.0037,0.75,18.513,0.7782,0.6667,0
853,860,369370,369415,176,13,18996,99,1353,290,0.7287,0.1556,0.0052,0.5385,22.455,0.8451,0.8444,0
1289,1306,498078,498335,2409,60,246930,37,1353,185,0.0695,0.0662,0.0126,0.2833,33.818,12.305,0.9338,0
430,441,100250,100337,630,20,62357,64,1387,40,0.62,0.1264,0.0079,0.55,27.993,10.414,0.8736,0
413,446,138468,138883,9052,230,1481991,23,1687,150,0.4896,0.0795,0.0196,0.1435,39.567,15.185,0.9205,0
190,200,210936,210956,132,11,20007,124,1687,150,0.2253,0.5,0.0059,0.9091,21.206,1,0.5,0
330,343,429227,429253,264,15,29748,53,1687,150,0.3912,0.5,0.0077,0.8667,24.216,11.139,0.5,0
74,90,779144,779308,1506,46,180215,53,1687,150,0.0877,0.0976,0.0095,0.3478,31.778,12.041,0.9024,0
106,118,813452,813500,442,13,50393,76,1687,150,0.1257,0.25,0.0071,0.9231,26.454,10.792,0.75,0
505,515,106604,106668,284,42,31062,97,1687,150,0.5987,0.1563,0.0059,0.2381,24.533,1,0.8438,0
46,58,179258,179312,480,15,61966,102,1687,150,0.0545,0.2222,0.0071,0.8,26.812,10.792,0.7778,0
581,590,230644,230704,433,22,38917,62,1687,150,0.6888,0.15,0.0053,0.4091,26.365,0.9542,0.85,0
451,466,368143,368208,728,30,69258,36,1687,150,0.5347,0.2308,0.0089,0.5,28.621,11.761,0.7692,0
669,684,491552,491684,1097,59,119540,50,1687,150,0.7931,0.1136,0.0089,0.2542,30.402,11.761,0.8864,0
156,192,713788,714056,5044,167,570911,11,1687,150,0.1849,0.1343,0.0213,0.2156,37.028,15.563,0.8657,0
