@relation twospirals

@attribute x1 numeric
@attribute x2 numeric
@attribute class {0,1}

@data
2.7415,-2.9958,0
5.3682,-8.9599,0
1.2894,8.0858,0
-4.3246,5.6713,0
-0.67158,7.7749,0
-2.8672,-10.701,0
7.9491,-6.3665,0
-3.5987,6.4555,0
-0.80286,-4.7991,0
1.6561,7.9798,0
9.0433,-4.2232,0
-2.8159,6.9355,0
9.0653,1.9927,0
3.2274,-0.11015,0
0.75865,8.0911,0
4.6529,7.2584,0
3.1219,-2.3174,0
-5.7567,-1.2893,0
-1.3422,7.6286,0
9.495,-0.60663,0
-0.93782,-10.911,0
8.2565,4.0095,0
8.8505,2.6464,0
2.6895,7.8403,0
-6.3245,1.5062,0
9.28,-3.178,0
2.1035,8.0195,0
2.2416,7.9998,0
2.1168,-3.6635,0
-0.99418,-10.979,0
2.5062,1.3361,0
7.3901,-6.8717,0
8.4804,-5.3001,0
7.1512,-7.3397,0
-5.5292,-9.8442,0
-3.0903,6.8876,0
8.1135,-6.1459,0
-4.7833,-10.226,0
-0.69651,-11.001,0
6.2433,6.2551,0
3.3509,-0.59158,0
8.9736,2.5673,0
9.4474,-2.8919,0
2.2558,-10.55,0
-3.1568,-10.661,0
2.281,7.9848,0
-4.4879,-10.415,0
-3.3279,-10.605,0
3.4369,-10.09,0
6.5999,-7.8687,0
2.3005,7.8862,0
3.5324,7.6726,0
-4.902,5.1528,0
3.3813,7.6854,0
3.2083,7.8292,0
-3.205,6.7087,0
9.2101,1.5673,0
-0.29054,7.9148,0
0.34639,-4.5701,0
2.1501,-10.562,0
1.7187,-3.9922,0
-3.5838,6.4378,0
-0.77021,-4.627,0
2.8691,-10.28,0
4.871,6.9686,0
-3.6305,6.3099,0
9.5736,-1.3131,0
-1.125,7.7659,0
1.6362,-3.9193,0
-1.1636,-10.919,0
8.636,3.2931,0
-2.2922,7.2817,0
8.7639,3.1077,0
-4.7418,-10.263,0
3.8431,-9.8638,0
8.1132,-5.8278,0
-5.2714,4.6644,0
0.22735,-4.5283,0
-3.349,-4.1853,0
0.00062846,-4.731,0
-2.9749,-10.665,0
-3.106,-10.693,0
-5.5748,-1.8557,0
7.9042,-6.3324,0
-6.0088,-0.57002,0
-4.0713,6.0741,0
-1.3664,-10.878,0
9.5563,0.34931,0
-6.3175,0.48919,0
3.3597,-0.3982,0
4.9982,6.8961,0
-1.3943,-10.891,0
2.8636,7.8502,0
-3.6943,-10.654,0
8,4.3903,0
2.6837,-10.313,0
