@relation Weight-Lifting

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x16 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute x36 numeric
@attribute x37 numeric
@attribute x38 numeric
@attribute x40 numeric
@attribute x42 numeric
@attribute x44 numeric
@attribute x46 numeric
@attribute x47 numeric
@attribute class {A,B,E}

@data
3.7,41.6,-82.8,3,2.02,0.02,-3,-18,22,387,525,-267,132,-53.6,143,30,-346,556,-205,-374,-0.31,0.16,0.08,5,21,37,-471,191,277,-111,26.5,138,-0.37,-170,184,1400,-876,E
3.66,42.8,-82.5,2,1.96,0.05,-2,-13,16,405,512,-254,129,-49,146,35,-339,599,-206,-335,-0.31,0.14,0.07,4,22,35,-472,184,281,-112,26.2,138,-0.37,-178,182,1410,-871,E
3.58,43.7,-82.3,1,1.88,0.05,-2,-6,8,409,511,-244,125,-43.7,156,44,-307,613,-198,-319,-0.31,0.16,0.05,3,23,37,-468,190,275,-114,26,137,-0.27,-182,185,1400,-863,E
3.56,44.4,-82.1,1,1.8,0.08,-6,-5,7,422,513,-221,120,-38.1,158,52,-305,646,-186,-268,-0.31,0.16,0.07,5,24,38,-469,184,285,-115,25.8,137,-0.24,-185,188,1400,-855,E
3.57,45.1,-81.9,1,1.77,0.13,-4,-9,0,418,508,-208,115,-31.7,163,55,-288,670,-175,-241,-0.31,0.14,0.07,5,23,37,-468,189,292,-117,25.5,137,-0.27,-188,188,1400,-843,E
3.45,45.6,-81.9,1,1.75,0.16,1,-9,-5,432,510,-189,110,-25.8,160,59,-274,696,-174,-193,-0.31,0.14,0.07,6,22,36,-473,188,278,-118,25.1,137,-0.29,-208,190,1400,-838,E
3.31,46.2,-81.9,3,1.78,0.15,1,-24,-8,438,508,-176,104,-18.5,165,67,-225,721,-161,-121,-0.29,0.14,0.07,6,22,35,-471,183,284,-120,24.8,136,-0.24,-215,190,1410,-831,E
2.91,46.9,-82.2,4,1.75,0.23,2,-36,-9,440,503,-163,98.6,-11.4,153,70,-218,725,-152,-105,-0.29,0.14,0.07,3,23,35,-476,184,283,-122,24.5,135,-0.18,-212,190,1410,-829,E
2.31,47.4,-82.6,2,1.65,0.33,-1,-19,-7,443,507,-140,93.2,-4.49,143,78,-205,740,-133,-43,-0.29,0.14,0.08,6,22,36,-474,186,278,-124,24,135,-0.21,-221,194,1400,-819,E
2,47.7,-82.8,3,1.48,0.21,-18,18,1,449,499,-132,88.5,1.82,135,96,-134,741,-115,14,-0.29,0.14,0.07,5,21,34,-470,188,283,-126,23.4,134,-0.26,-220,196,1410,-804,E
2.41,47.8,-82.3,2,1.3,0.1,-13,5,12,452,500,-115,83.7,7.99,127,96,-99,735,-110,64,-0.31,0.14,0.07,5,22,33,-475,193,280,-127,22.5,133,-0.55,-233,204,1410,-792,E
2.49,47.8,-82.1,2,1.14,0.08,-5,-7,12,450,498,-112,79,14.2,94,106,-109,726,-97,110,-0.29,0.16,0.05,4,22,35,-471,188,291,-129,21.4,133,-0.53,-261,195,1400,-784,E
2.32,47.5,-82.1,2,1.01,0.11,9,-7,11,447,496,-79,75.7,19.1,98,114,-72,726,-89,140,-0.31,0.16,0.05,4,22,35,-471,183,277,-131,21.3,132,0.18,-209,187,1390,-763,E
2.14,47,-82.1,3,0.96,0.16,27,-3,10,446,496,-85,72.2,24,96,120,-47,707,-69,191,-0.31,0.16,0.05,4,22,35,-471,183,277,-133,21.3,130,0.43,-189,203,1380,-735,E
2.03,46.5,-82.2,5,1,0.18,47,-4,4,446,504,-84,69.2,28.2,88,116,-42,690,-64,250,-0.31,0.16,0.05,4,22,35,-471,183,277,-134,21,129,0.45,-169,214,1360,-725,E
1.9,45.9,-82.2,7,1.09,0.16,64,-1,1,444,497,-68,66.4,32.4,85,104,-14,671,-58,262,-0.31,0.16,0.05,4,22,35,-471,183,277,-135,20.2,127,0.18,-162,219,1360,-715,E
1.85,45.5,-82.1,7,1.24,0.11,72,-2,6,435,494,-59,64.1,36,47,114,-38,641,-38,313,-0.31,0.16,0.05,4,22,35,-471,183,277,-136,19,126,-0.19,-161,214,1370,-711,E
1.69,45.5,-81.9,7,1.38,0,63,-13,8,443,495,-46,62.4,39.1,52,121,-35,640,-32,335,-0.31,0.16,0.05,4,22,35,-471,183,277,-136,17.5,125,-0.47,-174,214,1370,-709,E
1.28,45.6,-81.9,4,1.49,-0.02,37,-19,14,438,493,-9,61.3,41.7,52,131,-33,612,-10,369,-0.29,0.16,0.05,4,23,36,-476,193,276,-136,16.2,124,-0.48,-206,221,1370,-723,E
0.75,45.9,-82,2,1.53,-0.02,5,-1,19,442,489,-2,60.3,44.2,52,131,-9,569,2,409,-0.31,0.14,0.07,5,22,36,-481,192,277,-136,15,123,-0.29,-213,226,1380,-712,E
0.48,46.3,-81.8,4,1.51,-0.07,-16,29,22,427,499,11,59.7,46.5,5,133,-42,553,11,424,-0.31,0.16,0.07,4,22,35,-473,191,279,-137,14.1,123,-0.13,-195,230,1380,-728,E
0.49,46.8,-81.4,8,1.38,-0.23,-41,65,30,422,495,32,59.5,48.3,-2,143,-30,515,37,456,-0.31,0.16,0.05,4,23,35,-473,185,280,-137,13.2,121,-0.06,-179,235,1390,-736,E
0.3,47.8,-81,13,1.25,-0.38,-77,95,49,421,486,42,59.3,50.4,-11,148,-16,497,49,481,-0.29,0.16,0.03,4,23,35,-477,186,279,-137,12.3,121,-0.08,-166,235,1400,-741,E
-0.03,49.2,-80.8,22,1.2,-0.15,-120,164,65,404,497,67,59.1,52.3,-24,150,-11,447,69,505,-0.29,0.16,0.03,5,23,35,-469,191,286,-137,11.4,120,-0.18,-156,237,1410,-751,E
-1.42,50.5,-81,18,1.01,-0.77,-54,149,77,405,489,65,58.9,54.6,-49,158,-33,431,86,511,-0.29,0.16,0.05,5,23,37,-471,186,274,-137,10.4,119,-0.26,-160,239,1420,-755,E
-3.03,51.6,-81.6,9,0.95,-0.75,-5,-40,74,396,493,88,58.9,56.5,-67,158,-39,378,99,543,-0.31,0.16,0.05,6,23,37,-478,186,283,-137,9.55,119,-0.29,-153,238,1420,-749,E
-3.9,52.7,-82,8,1,-0.28,2,-71,38,390,500,96,58.9,58.6,-74,160,-26,320,120,574,-0.31,0.14,0.05,5,22,36,-477,180,282,-137,8.58,118,-0.42,-143,237,1430,-763,E
-5.11,53.5,-82.8,6,1.12,-0.18,-15,-54,24,374,505,123,58.9,61.2,-81,159,-7,294,128,595,-0.31,0.16,0.05,5,22,36,-473,184,279,-138,7.71,118,-0.48,-140,230,1430,-767,E
-6.81,53.7,-83.9,6,1.12,-0.33,-57,-11,26,362,501,132,59,63.6,-101,163,-17,229,139,603,-0.31,0.16,0.05,5,24,36,-473,185,286,-138,7.01,118,-0.45,-145,225,1430,-751,E
-8.2,54.2,-84.7,10,1.03,-0.44,-97,-14,30,360,498,135,59.2,66.2,-123,166,-32,201,155,615,-0.32,0.16,0.05,3,25,34,-473,185,290,-139,6.45,118,-0.48,-138,224,1440,-759,E
-9.27,55,-85.2,12,0.87,-0.38,-111,-23,38,352,502,152,59.5,68.7,-135,171,-17,148,161,641,-0.31,0.16,0.07,5,23,35,-470,181,293,-139,5.87,119,-0.58,-142,218,1430,-749,E
-10.2,55.8,-85.7,11,0.71,-0.25,-94,-36,33,345,500,154,60,71.1,-154,174,-13,117,171,631,-0.31,0.16,0.07,6,21,35,-473,188,279,-140,5.35,119,-0.64,-142,209,1430,-744,E
-10.8,56.3,-86,7,0.55,-0.03,-67,17,14,336,501,161,60.8,73.7,-175,180,-25,49,192,644,-0.31,0.16,0.05,5,23,36,-472,190,286,-141,4.87,120,-0.72,-154,207,1420,-726,E
-10.9,56.1,-86,8,0.55,-0.13,-68,21,27,323,504,167,61.6,76,-179,171,-20,-8,209,647,-0.31,0.18,0.05,4,23,35,-475,189,289,-142,4.28,120,-0.83,-163,205,1420,-724,E
-11.4,56.1,-86.2,9,0.53,-0.28,-81,-5,34,321,501,168,62.8,78.6,-189,175,-26,-26,216,646,-0.31,0.18,0.05,4,24,36,-474,180,279,-143,3.6,121,-0.88,-172,201,1410,-701,E
-12.2,56.3,-86.5,8,0.51,-0.28,-70,-22,34,309,495,178,64.1,80.7,-203,178,-28,-82,240,642,-0.31,0.16,0.05,5,23,37,-478,186,286,-144,2.94,122,-0.83,-181,203,1400,-688,E
-12.8,56.4,-86.7,7,0.48,-0.2,-38,-14,56,311,503,200,65.7,82.8,-207,184,-36,-110,249,637,-0.31,0.16,0.05,7,20,37,-479,180,295,-145,2.28,122,-0.69,-188,203,1390,-679,E
-13.4,56.8,-86.9,8,0.51,-0.13,-19,-2,75,308,505,191,67.5,84.8,-211,184,-42,-162,263,625,-0.31,0.16,0.05,6,22,36,-468,184,280,-146,1.62,122,-0.64,-179,198,1380,-654,E
-14.2,57.4,-87.5,6,0.59,-0.11,-22,-3,52,300,507,189,69.5,86.8,-217,186,-52,-204,284,610,-0.31,0.16,0.05,5,23,37,-473,185,279,-147,0.82,123,-0.71,-175,203,1360,-627,E
-15,57.5,-88,4,0.58,-0.15,-26,11,32,292,496,202,71.6,88.6,-221,188,-55,-224,301,600,-0.31,0.16,0.05,4,23,37,-476,185,288,-149,0,123,-0.74,-179,204,1350,-606,E
-15.4,57.2,-88.2,5,0.66,-0.31,-22,32,37,286,501,204,73.8,90.3,-223,188,-61,-266,315,580,-0.31,0.16,0.05,5,22,36,-471,188,277,-150,-0.85,123,-0.69,-179,205,1330,-577,E
-16.2,57.2,-88.5,5,0.8,-0.44,-32,13,41,270,503,221,75.7,91.6,-223,189,-63,-281,326,568,-0.31,0.16,0.07,4,22,37,-473,188,296,-152,-1.69,124,-0.66,-181,209,1310,-574,E
-17,57.4,-88.9,6,0.82,-0.41,-44,-5,42,255,500,227,77.9,92.8,-225,192,-83,-307,333,567,-0.31,0.16,0.07,4,25,34,-468,178,273,-154,-2.6,124,-0.74,-191,214,1290,-531,E
-18.2,57.6,-89.7,7,0.77,-0.33,-54,-8,39,255,498,239,79.7,93.6,-229,188,-94,-329,353,532,-0.31,0.16,0.08,6,22,35,-469,187,286,-156,-3.77,124,-0.87,-198,221,1260,-497,E
-19.2,57.7,-90.4,8,0.71,-0.3,-66,4,37,240,502,248,81.6,94.2,-235,185,-104,-340,368,522,-0.31,0.18,0.07,5,21,35,-472,191,277,-157,-5.07,125,-1.01,-216,228,1240,-491,E
-20.3,57.8,-91.1,9,0.63,-0.33,-73,5,43,237,495,240,83.4,94.4,-227,181,-102,-344,382,517,-0.29,0.18,0.05,4,21,37,-473,179,295,-159,-6.62,126,-1.16,-226,232,1230,-474,E
-21.6,58,-92.2,8,0.55,-0.28,-70,-5,44,225,508,249,85.5,94.3,-223,178,-103,-354,383,493,-0.29,0.18,0.05,2,23,36,-469,188,279,-160,-8.29,127,-1.36,-237,235,1200,-462,E
-22.7,58.2,-93.1,6,0.53,-0.2,-51,0,38,216,499,249,87.7,94.2,-224,174,-109,-359,395,476,-0.29,0.18,0.07,5,24,37,-473,187,282,-162,-10,128,-1.3,-299,207,1200,-447,E
-23.4,58,-93.5,7,0.53,-0.23,-54,-3,39,211,498,269,90.3,94,-226,172,-119,-358,406,446,-0.29,0.18,0.07,4,22,37,-473,187,280,-164,-11.2,128,-0.43,-259,195,1190,-421,E
-24,57.9,-93.9,8,0.53,-0.23,-62,-7,42,195,490,259,93.1,93.6,-238,170,-135,-367,418,437,-0.29,0.18,0.05,4,19,36,-471,191,291,-166,-11.9,126,0.4,-190,203,1150,-395,E
-24.7,58,-94.3,8,0.5,-0.21,-68,-8,45,185,502,266,95.9,93,-241,168,-141,-375,430,413,-0.29,0.19,0.05,5,20,38,-470,189,284,-168,-12.8,125,0.35,-143,215,1140,-379,E
